supermarket,raw_text,raw_category,standardized_category,scraped_date,product_url
RedMart,"$5.04
Green Kiwi Fruit 6s
440 g
5D
4.6
(2.4k)
$1.15/100g","Dairy, Chilled & Eggs",Dairy,2026-04-01,https://www.lazada.sg/products/pdp-i301108865-s527088978.html?fs_ab=2&priceCompare=skuId%3A527088978%3Bsource%3Alazada-search-voucher-other%3Bsn%3Abf1e34f88c358a51c22dfd04385ab5d1%3BoriginPrice%3A504%3BdisplayPrice%3A504%3BsinglePromotionId%3A-1%3BsingleToolCode%3A-1%3BvoucherPricePlugin%3A0%3Btimestamp%3A1775012041416&c=&ratingscore=4.630615640599002&freeshipping=0&channelLpJumpArgs=&fuse_fs=&search=1&sale=120047&price=5.04&review=2404&location=Singapore&stock=1&lang=en&request_id=bf1e34f88c358a51c22dfd04385ab5d1
RedMart,"SAVE $3.00
$5.95
$8.95
Australia White Peaches
500 g
3D
4.6
(1.1k)
$1.19/100g","Dairy, Chilled & Eggs",Dairy,2026-04-01,https://www.lazada.sg/products/pdp-i351530235-s817622883.html?fs_ab=2&priceCompare=skuId%3A817622883%3Bsource%3Alazada-search-voucher-other%3Bsn%3Abf1e34f88c358a51c22dfd04385ab5d1%3BoriginPrice%3A595%3BdisplayPrice%3A595%3BsinglePromotionId%3A91471728997309%3BsingleToolCode%3AsingleBuy%3BvoucherPricePlugin%3A0%3Btimestamp%3A1775012041416&c=&ratingscore=4.611692844677138&freeshipping=0&channelLpJumpArgs=&fuse_fs=&search=1&sale=56618&price=5.95&review=1146&location=Singapore&stock=1&lang=en&request_id=bf1e34f88c358a51c22dfd04385ab5d1
RedMart,"$7.80
Organic Juliet Apple
800 g
4D
4.7
(314)
$0.98/100g","Dairy, Chilled & Eggs",Dairy,2026-04-01,https://www.lazada.sg/products/pdp-i520072241-s1455024481.html?fs_ab=2&priceCompare=skuId%3A1455024481%3Bsource%3Alazada-search-voucher-other%3Bsn%3Abf1e34f88c358a51c22dfd04385ab5d1%3BoriginPrice%3A780%3BdisplayPrice%3A780%3BsinglePromotionId%3A-1%3BsingleToolCode%3A-1%3BvoucherPricePlugin%3A0%3Btimestamp%3A1775012041416&c=&ratingscore=4.777070063694268&freeshipping=0&channelLpJumpArgs=&fuse_fs=&search=1&sale=20930&price=7.8&review=314&location=Singapore&stock=1&lang=en&request_id=bf1e34f88c358a51c22dfd04385ab5d1
RedMart,"SAVE 76¢
$3.04
$3.80
RedMart Green Apples
600 g
8D
4.8
(2.6k)
$0.51/100g","Dairy, Chilled & Eggs",Dairy,2026-04-01,https://www.lazada.sg/products/pdp-i303654320-s537320284.html?fs_ab=2&priceCompare=skuId%3A537320284%3Bsource%3Alazada-search-voucher-other%3Bsn%3Abf1e34f88c358a51c22dfd04385ab5d1%3BoriginPrice%3A304%3BdisplayPrice%3A304%3BsinglePromotionId%3A91471634867030%3BsingleToolCode%3AflashSale%3BvoucherPricePlugin%3A0%3Btimestamp%3A1775012041416&c=&ratingscore=4.8478344193177465&freeshipping=0&channelLpJumpArgs=&fuse_fs=&search=1&sale=148864&price=3.04&review=2609&location=Singapore&stock=1&lang=en&request_id=bf1e34f88c358a51c22dfd04385ab5d1
RedMart,"12% OFF
$3.96
$4.50
Sumifru Banana Sweet Mountain Bananas
820 g
3D
4.8
(5.1k)
$0.48/100g","Dairy, Chilled & Eggs",Dairy,2026-04-01,https://www.lazada.sg/products/pdp-i395146723-s952382623.html?fs_ab=2&priceCompare=skuId%3A952382623%3Bsource%3Alazada-search-voucher-other%3Bsn%3Abf1e34f88c358a51c22dfd04385ab5d1%3BoriginPrice%3A396%3BdisplayPrice%3A396%3BsinglePromotionId%3A91471598412249%3BsingleToolCode%3AsingleBuy%3BvoucherPricePlugin%3A0%3Btimestamp%3A1775012041416&c=&ratingscore=4.82813109637144&freeshipping=0&channelLpJumpArgs=&fuse_fs=&search=1&sale=259371&price=3.96&review=5125&location=Singapore&stock=1&lang=en&request_id=bf1e34f88c358a51c22dfd04385ab5d1
RedMart,"$4.54
Lemons 6S
700 g
7D
4.8
(5.3k)
$0.65/100g","Dairy, Chilled & Eggs",Dairy,2026-04-01,https://www.lazada.sg/products/pdp-i301090791-s527090747.html?fs_ab=2&priceCompare=skuId%3A527090747%3Bsource%3Alazada-search-voucher-other%3Bsn%3Abf1e34f88c358a51c22dfd04385ab5d1%3BoriginPrice%3A454%3BdisplayPrice%3A454%3BsinglePromotionId%3A-1%3BsingleToolCode%3A-1%3BvoucherPricePlugin%3A0%3Btimestamp%3A1775012041416&c=&ratingscore=4.895775172157082&freeshipping=0&channelLpJumpArgs=&fuse_fs=&search=1&sale=366114&price=4.54&review=5297&location=Singapore&stock=1&lang=en&request_id=bf1e34f88c358a51c22dfd04385ab5d1
RedMart,"$4.95
Gold+ Conference Pear (4 PCS)
450 g
5D
4.6
(140)
$1.10/100g","Dairy, Chilled & Eggs",Dairy,2026-04-01,https://www.lazada.sg/products/pdp-i1625027139-s7646766537.html?fs_ab=2&priceCompare=skuId%3A7646766537%3Bsource%3Alazada-search-voucher-other%3Bsn%3Abf1e34f88c358a51c22dfd04385ab5d1%3BoriginPrice%3A495%3BdisplayPrice%3A495%3BsinglePromotionId%3A-1%3BsingleToolCode%3A-1%3BvoucherPricePlugin%3A0%3Btimestamp%3A1775012041416&c=&ratingscore=4.635714285714286&freeshipping=0&channelLpJumpArgs=&fuse_fs=&search=1&sale=9488&price=4.95&review=140&location=Singapore&stock=1&lang=en&request_id=bf1e34f88c358a51c22dfd04385ab5d1
RedMart,"$4.95
Green Seedless Grapes
500 g
4D
4.7
(5.2k)
$0.99/100g","Dairy, Chilled & Eggs",Dairy,2026-04-01,https://www.lazada.sg/products/pdp-i301106827-s527124133.html?fs_ab=2&priceCompare=skuId%3A527124133%3Bsource%3Alazada-search-voucher-other%3Bsn%3Abf1e34f88c358a51c22dfd04385ab5d1%3BoriginPrice%3A495%3BdisplayPrice%3A495%3BsinglePromotionId%3A-1%3BsingleToolCode%3A-1%3BvoucherPricePlugin%3A0%3Btimestamp%3A1775012041416&c=&ratingscore=4.703274087932647&freeshipping=0&channelLpJumpArgs=&fuse_fs=&search=1&sale=393871&price=4.95&review=5153&location=Singapore&stock=1&lang=en&request_id=bf1e34f88c358a51c22dfd04385ab5d1
RedMart,"$4.80
Premium Mutsu Fuji Apples
600 g
5D
4.8
(605)
$0.80/100g","Dairy, Chilled & Eggs",Dairy,2026-04-01,https://www.lazada.sg/products/pdp-i303362534-s536696941.html?fs_ab=2&priceCompare=skuId%3A536696941%3Bsource%3Alazada-search-voucher-other%3Bsn%3Abf1e34f88c358a51c22dfd04385ab5d1%3BoriginPrice%3A480%3BdisplayPrice%3A480%3BsinglePromotionId%3A-1%3BsingleToolCode%3A-1%3BvoucherPricePlugin%3A0%3Btimestamp%3A1775012041416&c=&ratingscore=4.8826446280991735&freeshipping=0&channelLpJumpArgs=&fuse_fs=&search=1&sale=27612&price=4.8&review=605&location=Singapore&stock=1&lang=en&request_id=bf1e34f88c358a51c22dfd04385ab5d1
RedMart,"SAVE 99¢
$7.96
$8.95
Purespect High Brix Orange Navel Bag
800 g
6D
4.7
(1.1k)
$1.00/100g","Dairy, Chilled & Eggs",Dairy,2026-04-01,https://www.lazada.sg/products/pdp-i614498617-s1812314702.html?fs_ab=2&priceCompare=skuId%3A1812314702%3Bsource%3Alazada-search-voucher-other%3Bsn%3Abf1e34f88c358a51c22dfd04385ab5d1%3BoriginPrice%3A796%3BdisplayPrice%3A796%3BsinglePromotionId%3A91471632297806%3BsingleToolCode%3AsingleBuy%3BvoucherPricePlugin%3A0%3Btimestamp%3A1775012041416&c=&ratingscore=4.739327883742052&freeshipping=0&channelLpJumpArgs=&fuse_fs=&search=1&sale=48282&price=7.96&review=1101&location=Singapore&stock=1&lang=en&request_id=bf1e34f88c358a51c22dfd04385ab5d1
